```python
import numpy as np
import scipy.optimize as optimize
import random

def run(seed=42, budget_s=600):
    np.random.seed(seed)
    n_points = 100
    dx = 2.0 / n_points
    initial_h = np.random.rand(n_points)
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h[initial_h > 1.0] = 1.0
    initial_h[initial_h < 0.0] = 0.0
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
    initial_h = np.minimum(1.0, np.maximum(0.0, initial_h * 2.0 - 1.0))
