step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,64,1,0.0156,0.444452,0.444452,0.444452,0.444452,0.444452,0.444452,2.24996,2.24996,2.24996,2.24996,2.24996,2.24996
1,64,8,0.1250,0.402143,0.414532,0.443127,0.447762,0.469976,0.514958,1.94191,2.12938,2.25673,2.24896,2.41268,2.48668
2,64,15,0.2344,0.383057,0.398326,0.40879,0.422482,0.430943,0.5,2,2.32134,2.44624,2.38373,2.51051,2.61057
3,64,20,0.3125,0.382601,0.384113,0.389139,0.409783,0.414397,0.5,2,2.41445,2.56986,2.45936,2.6034,2.61369
4,64,40,0.6250,0.381994,0.382621,0.383434,0.388988,0.386575,0.42589,2.34803,2.58682,2.60801,2.57322,2.61355,2.61784
5,64,44,0.6875,0.381386,0.382101,0.382378,0.38492,0.382765,0.423911,2.35898,2.61257,2.61522,2.59904,2.61711,2.62201
6,64,56,0.8750,0.381386,0.381407,0.381656,0.381803,0.382028,0.383149,2.60995,2.61761,2.62016,2.61916,2.62187,2.62201
7,64,55,0.8594,0.381359,0.381386,0.381412,0.382283,0.381823,0.415795,2.40503,2.61902,2.62184,2.61621,2.62201,2.6222
8,64,52,0.8125,0.381328,0.381362,0.381386,0.381556,0.381641,0.382461,2.61465,2.62026,2.62202,2.62085,2.62218,2.62241
9,64,53,0.8281,0.381328,0.381359,0.381362,0.381437,0.381385,0.382184,2.61654,2.62202,2.62218,2.62167,2.6222,2.62241
10,64,55,0.8594,0.381289,0.381328,0.381345,0.381938,0.381656,0.40225,2.48602,2.62016,2.62229,2.61836,2.62241,2.62268
11,64,58,0.9062,0.381289,0.381308,0.381316,0.382192,0.381629,0.42082,2.37631,2.62035,2.6225,2.61692,2.62255,2.62268
