step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,80,1,0.0125,0.453177,0.453177,0.453177,0.453177,0.453177,0.453177,2.20664,2.20664,2.20664,2.20664,2.20664,2.20664
1,80,12,0.1500,0.387382,0.428396,0.453177,0.446921,0.466641,0.5,2,2.14428,2.20664,2.25296,2.33768,2.58143
2,80,22,0.2750,0.381984,0.387454,0.418078,0.427213,0.448195,0.5,2,2.23121,2.39192,2.3636,2.58095,2.61791
3,80,43,0.5375,0.381902,0.383246,0.385179,0.403075,0.407205,0.5,2,2.45581,2.5962,2.49474,2.60929,2.61847
4,80,43,0.5375,0.381664,0.382335,0.382936,0.39284,0.395427,0.5,2,2.52912,2.6114,2.55284,2.61551,2.62011
5,80,60,0.7500,0.381491,0.382163,0.38264,0.393925,0.389612,0.5,2,2.56666,2.61343,2.54969,2.61668,2.62129
6,80,48,0.6000,0.381216,0.381982,0.382765,0.399533,0.394033,0.500422,1.99831,2.53786,2.61257,2.51861,2.61792,2.62318
7,80,66,0.8250,0.381212,0.381505,0.381891,0.395181,0.382778,0.551649,1.81275,2.61248,2.61854,2.54903,2.6212,2.62321
8,80,63,0.7875,0.381193,0.381233,0.381329,0.394762,0.381535,1,1,2.62099,2.62241,2.57698,2.62307,2.62334
9,80,71,0.8875,0.381202,0.38128,0.381297,0.384961,0.381385,0.529446,1.88877,2.62202,2.62263,2.60296,2.62275,2.62328
10,80,66,0.8250,0.381193,0.381295,0.381328,0.382862,0.38136,0.47984,2.08403,2.62219,2.62241,2.61397,2.62264,2.62334
11,80,56,0.7000,0.381139,0.381282,0.381352,0.383051,0.38136,0.44363,2.25413,2.6222,2.62225,2.61184,2.62273,2.62372
12,80,70,0.8750,0.381126,0.381256,0.381308,0.381315,0.381336,0.381823,2.61901,2.62236,2.62255,2.6225,2.62291,2.6238
13,80,36,0.4500,0.381142,0.381291,0.381315,0.385816,0.38139,0.468848,2.13289,2.62199,2.6225,2.59694,2.62267,2.62369
14,80,61,0.7625,0.381167,0.381317,0.381377,0.383037,0.381422,0.473374,2.11249,2.62177,2.62208,2.61269,2.62249,2.62352
15,80,62,0.7750,0.38113,0.381288,0.381383,0.386273,0.381477,0.5,2,2.62139,2.62204,2.59541,2.62269,2.62378
16,80,64,0.8000,0.381183,0.381232,0.381363,0.382909,0.381515,0.456663,2.1898,2.62113,2.62217,2.61297,2.62307,2.62341
