step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,64,2,0.0312,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2
1,64,11,0.1719,0.493877,0.5,0.5,0.499244,0.5,0.5,2,2,2,2.00306,2,2.0248
2,64,14,0.2188,0.493463,0.5,0.5,0.499376,0.5,0.5,2,2,2,2.00252,2,2.02649
3,64,27,0.4219,0.38325,0.495008,0.498405,0.485108,0.5,0.5,2,2,2.0064,2.07139,2.02023,2.60926
4,64,22,0.3438,0.38287,0.386753,0.497807,0.449592,0.497807,0.5,2,2.00881,2.00881,2.2579,2.58565,2.61185
5,64,30,0.4688,0.382543,0.384068,0.387366,0.40891,0.41607,0.5,2,2.40345,2.58154,2.46678,2.6037,2.61409
6,64,19,0.2969,0.382165,0.382555,0.382843,0.382942,0.383132,0.384448,2.60113,2.61006,2.61204,2.61137,2.61401,2.61667
7,64,34,0.5312,0.381908,0.382332,0.382518,0.387111,0.383157,0.434635,2.30078,2.6099,2.61426,2.58594,2.61553,2.61843
8,64,43,0.6719,0.381775,0.382214,0.382319,0.382555,0.382559,0.389215,2.56927,2.61398,2.61562,2.61402,2.61634,2.61935
9,64,38,0.5938,0.381662,0.382035,0.382202,0.3853,0.382395,0.5,2,2.61509,2.61642,2.60021,2.61756,2.62012
10,64,46,0.7188,0.381403,0.381767,0.381922,0.382357,0.382228,0.398075,2.51209,2.61624,2.61833,2.61545,2.6194,2.6219
11,64,33,0.5156,0.381264,0.381585,0.381733,0.385367,0.38184,0.5,2,2.6189,2.61963,2.60051,2.62065,2.62286
