step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,512,14,0.0273,0.386892,0.39957,0.487552,0.464278,0.502782,0.545984,1.83155,1.98895,2.05109,2.18375,2.50646,2.5847
1,512,122,0.2383,0.38273,0.390421,0.425328,0.4413,0.49662,0.957143,1.04478,2.01362,2.35112,2.30351,2.56133,2.61281
2,512,194,0.3789,0.381826,0.38273,0.383027,0.393772,0.384265,0.520628,1.92076,2.60237,2.61078,2.5519,2.61281,2.619
3,512,263,0.5137,0.381239,0.382093,0.382262,0.388144,0.382554,0.518442,1.92886,2.61401,2.61601,2.58373,2.61717,2.62303
4,512,348,0.6797,0.381152,0.381481,0.381664,0.383576,0.38206,0.5,2,2.61739,2.62011,2.60957,2.62136,2.62362
5,512,393,0.7676,0.381041,0.381243,0.381288,0.38343,0.38158,0.534631,1.87045,2.62068,2.62269,2.61142,2.623,2.62439
6,512,414,0.8086,0.381111,0.381144,0.381185,0.381823,0.38124,0.5,2,2.62302,2.6234,2.61985,2.62368,2.62391
7,512,414,0.8086,0.381106,0.381119,0.381145,0.381259,0.381184,0.386632,2.58644,2.62341,2.62368,2.62289,2.62385,2.62394
8,512,333,0.6504,0.381102,0.381108,0.381114,0.381115,0.381119,0.381125,2.62381,2.62385,2.62388,2.62388,2.62393,2.62397
9,512,459,0.8965,0.381089,0.381102,0.381104,0.381918,0.381108,0.50918,1.96394,2.62393,2.62395,2.61971,2.62397,2.62406
10,512,461,0.9004,0.381084,0.381091,0.381096,0.381356,0.381096,0.500008,1.99997,2.62401,2.62401,2.62264,2.62405,2.6241
11,512,481,0.9395,0.381083,0.381088,0.38109,0.381611,0.381091,0.50658,1.97402,2.62404,2.62405,2.62135,2.62406,2.6241
12,512,472,0.9219,0.38108,0.381082,0.381085,0.381337,0.381088,0.5,2,2.62407,2.62409,2.62276,2.62411,2.62412
13,512,334,0.6523,0.381077,0.38108,0.381081,0.381082,0.381081,0.381536,2.62098,2.62411,2.62411,2.62411,2.62412,2.62414
14,512,433,0.8457,0.381068,0.381077,0.381078,0.381378,0.381079,0.510017,1.96072,2.62413,2.62414,2.62259,2.62414,2.6242
15,512,393,0.7676,0.381068,0.381073,0.381074,0.381084,0.381076,0.38322,2.60947,2.62415,2.62416,2.62409,2.62417,2.6242
16,512,485,0.9473,0.381067,0.381068,0.38107,0.381071,0.381072,0.381551,2.62088,2.62418,2.62419,2.62418,2.6242,2.62421
17,512,398,0.7773,0.381066,0.381067,0.381068,0.381074,0.381069,0.383718,2.60608,2.6242,2.6242,2.62416,2.62421,2.62422
18,512,470,0.9180,0.381057,0.381066,0.381066,0.381606,0.381067,0.5,2,2.62421,2.62422,2.62124,2.62422,2.62428
19,512,424,0.8281,0.381061,0.381065,0.381066,0.381868,0.381066,0.534859,1.86965,2.62422,2.62422,2.62006,2.62423,2.62425
20,512,473,0.9238,0.381062,0.381063,0.381064,0.381487,0.381065,0.534821,1.86978,2.62423,2.62423,2.62197,2.62423,2.62425
21,512,420,0.8203,0.381061,0.381062,0.381062,0.381451,0.381063,0.500729,1.99709,2.62424,2.62424,2.62211,2.62424,2.62425
