step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,16,3,0.1875,0.461459,0.480625,0.499791,0.634368,0.720823,0.941855,1.06173,1.53129,2.00084,1.7432,2.08394,2.16704
1,16,3,0.1875,0.460886,0.480338,0.499791,0.523394,0.554647,0.609504,1.64068,1.82076,2.00084,1.93708,2.08529,2.16974
2,16,6,0.3750,0.425999,0.435832,0.45787,0.457322,0.469905,0.499791,2.00084,2.12845,2.18405,2.19329,2.29611,2.34742
3,32,13,0.4062,0.383179,0.399291,0.44991,0.434524,0.459377,0.496971,2.01219,2.17686,2.22267,2.31603,2.50444,2.60975
4,64,39,0.6094,0.383179,0.396427,0.410612,0.425317,0.426132,0.704083,1.42029,2.34674,2.43539,2.379,2.52256,2.60975
5,128,62,0.4844,0.382061,0.38383,0.390359,0.414556,0.395196,0.841223,1.18875,2.53039,2.56175,2.45578,2.60532,2.61739
6,256,137,0.5352,0.382061,0.383167,0.383794,0.395655,0.384586,0.535738,1.86658,2.6002,2.60556,2.53952,2.60983,2.61739
7,512,250,0.4883,0.382061,0.382769,0.382856,0.396352,0.383167,0.530046,1.88663,2.60983,2.61195,2.53892,2.61254,2.61739
8,512,257,0.5020,0.382061,0.382061,0.382754,0.393742,0.382856,0.934822,1.06972,2.61195,2.61264,2.55968,2.61739,2.61739
9,512,299,0.5840,0.381859,0.382061,0.382061,0.39723,0.382061,0.547978,1.82489,2.61739,2.61739,2.5344,2.61739,2.61877
10,512,295,0.5762,0.381776,0.381956,0.381995,0.399195,0.382056,0.70027,1.42802,2.61742,2.61784,2.52744,2.6181,2.61933
