step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,64,3,0.0469,0.5,0.5,0.5,0.501464,0.502196,0.504392,1.98259,1.99129,2,1.9942,2,2
1,64,3,0.0469,0.385062,0.442531,0.5,0.461687,0.5,0.5,2,2,2,2.199,2.29849,2.59699
2,64,14,0.2188,0.387525,0.479248,0.5,0.511695,0.504747,0.951234,1.05127,1.98125,2,2.03844,2.08667,2.58048
3,64,21,0.3281,0.382399,0.391236,0.458719,0.448448,0.491181,0.511801,1.95388,2.03591,2.17999,2.2555,2.556,2.61507
4,64,36,0.5625,0.381951,0.382399,0.383701,0.399357,0.394171,0.56775,1.76134,2.53697,2.6062,2.52157,2.61507,2.61814
5,64,42,0.6562,0.38195,0.38195,0.382205,0.390801,0.382584,0.5,2,2.6138,2.6164,2.57113,2.61814,2.61814
6,64,42,0.6562,0.38185,0.38195,0.38195,0.385038,0.38218,0.5,2,2.61657,2.61814,2.60154,2.61814,2.61883
7,64,48,0.7500,0.381833,0.38185,0.382015,0.394393,0.382194,0.5,2,2.61647,2.6177,2.55276,2.61883,2.61895
8,64,48,0.7500,0.381871,0.381921,0.381921,0.418854,0.5,0.5,2,2,2.61834,2.42489,2.61834,2.61869
9,64,39,0.6094,0.381819,0.382106,0.382233,0.427483,0.5,0.5,2,2,2.61621,2.37951,2.61707,2.61904
10,64,26,0.4062,0.381819,0.381871,0.381979,0.422841,0.5,0.5,2,2,2.61794,2.40398,2.61869,2.61904
11,64,51,0.7969,0.381819,0.381871,0.382021,0.386626,0.382103,0.5,2,2.61709,2.61765,2.59358,2.61869,2.61904
