step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,4,0,0.0000,,,,,,,,,,,,
1,4,0,0.0000,,,,,,,,,,,,
2,4,0,0.0000,,,,,,,,,,,,
3,4,0,0.0000,,,,,,,,,,,,
4,4,0,0.0000,,,,,,,,,,,,
5,4,0,0.0000,,,,,,,,,,,,
6,4,0,0.0000,,,,,,,,,,,,
7,4,0,0.0000,,,,,,,,,,,,
8,4,0,0.0000,,,,,,,,,,,,
9,4,0,0.0000,,,,,,,,,,,,
10,4,0,0.0000,,,,,,,,,,,,
11,4,0,0.0000,,,,,,,,,,,,
12,4,0,0.0000,,,,,,,,,,,,
13,4,0,0.0000,,,,,,,,,,,,
14,4,0,0.0000,,,,,,,,,,,,
