step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,512,20,0.0391,0.398633,0.443282,0.491691,0.471224,0.499843,0.500005,1.99998,2.00063,2.0338,2.13453,2.25595,2.50857
1,512,190,0.3711,0.382823,0.412422,0.439795,0.452359,0.5,0.759961,1.31586,2,2.27378,2.24114,2.42472,2.61218
2,512,281,0.5488,0.381591,0.382823,0.383223,0.392876,0.387505,0.8,1.25,2.58061,2.60945,2.55693,2.61218,2.62061
3,512,284,0.5547,0.38147,0.382067,0.382383,0.386607,0.383103,0.5,2,2.61026,2.61518,2.59035,2.61734,2.62144
4,512,212,0.4141,0.381405,0.381664,0.38179,0.38568,0.38217,0.5,2,2.61663,2.61924,2.59698,2.62011,2.62189
5,512,288,0.5625,0.381255,0.381451,0.381594,0.383067,0.381846,0.511558,1.95481,2.61885,2.62059,2.61209,2.62157,2.62292
6,512,331,0.6465,0.381135,0.381282,0.381331,0.381515,0.381391,0.391471,2.55447,2.62198,2.62239,2.62114,2.62273,2.62374
7,512,403,0.7871,0.381115,0.381193,0.38126,0.382364,0.381274,0.494456,2.02243,2.62279,2.62288,2.61639,2.62334,2.62388
8,512,442,0.8633,0.381098,0.381121,0.381145,0.381943,0.381179,0.474694,2.10662,2.62344,2.62368,2.61891,2.62384,2.624
9,512,429,0.8379,0.381095,0.381102,0.38111,0.382356,0.381114,0.5,2,2.62389,2.62391,2.61667,2.62397,2.62402
10,512,461,0.9004,0.381092,0.381097,0.381098,0.38226,0.381101,0.530841,1.8838,2.62398,2.624,2.61763,2.624,2.62404
11,512,468,0.9141,0.381061,0.381094,0.381095,0.38153,0.381097,0.444444,2.25,2.62401,2.62402,2.6213,2.62402,2.62425
12,512,456,0.8906,0.38106,0.381062,0.381084,0.381802,0.381094,0.48497,2.06198,2.62402,2.6241,2.6198,2.62424,2.62426
13,512,473,0.9238,0.381058,0.38106,0.38106,0.381437,0.381061,0.471279,2.12189,2.62425,2.62426,2.62202,2.62426,2.62427
14,512,470,0.9180,0.381054,0.381057,0.381059,0.38111,0.381059,0.387492,2.5807,2.62426,2.62427,2.62392,2.62428,2.6243
15,512,463,0.9043,0.38105,0.381053,0.381054,0.381868,0.381059,0.492934,2.02867,2.62427,2.6243,2.61965,2.62431,2.62432
16,512,458,0.8945,0.381048,0.381051,0.381052,0.381183,0.381053,0.416662,2.40003,2.62431,2.62432,2.62346,2.62432,2.62434
17,512,421,0.8223,0.381048,0.381049,0.38105,0.381425,0.381051,0.496154,2.0155,2.62432,2.62432,2.62219,2.62433,2.62434
18,512,432,0.8438,0.381033,0.381048,0.381049,0.381795,0.38105,0.5,2,2.62433,2.62434,2.61991,2.62434,2.62445
19,512,386,0.7539,0.381027,0.381048,0.381048,0.381794,0.381052,0.457852,2.18411,2.62431,2.62434,2.61966,2.62434,2.62449
20,512,369,0.7207,0.381023,0.381036,0.381039,0.382241,0.38106,0.515736,1.93898,2.62426,2.6244,2.61731,2.62442,2.62451
21,512,328,0.6406,0.381022,0.381038,0.381047,0.382914,0.381056,0.505507,1.97821,2.62428,2.62435,2.61393,2.62441,2.62452
22,512,334,0.6523,0.38102,0.381036,0.381045,0.381865,0.381061,0.496393,2.01453,2.62425,2.62436,2.61941,2.62442,2.62453
23,512,344,0.6719,0.381024,0.381024,0.381046,0.381955,0.381067,0.492831,2.02909,2.62421,2.62435,2.61889,2.6245,2.62451
