step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,75,12,0.1600,0.382436,0.425589,0.467409,0.458469,0.499791,0.50747,1.97056,2.00084,2.14854,2.20222,2.35014,2.61482
1,75,31,0.4133,0.382436,0.387308,0.403168,0.417785,0.428936,0.513618,1.94697,2.33135,2.48035,2.4113,2.58213,2.61482
2,75,35,0.4667,0.38243,0.382436,0.382436,0.401416,0.390735,0.521803,1.91643,2.55928,2.61482,2.51141,2.61482,2.61485
3,75,59,0.7867,0.38238,0.382435,0.382436,0.385013,0.382436,0.431281,2.31867,2.61482,2.61482,2.59822,2.61482,2.6152
4,75,67,0.8933,0.382219,0.38243,0.38243,0.382501,0.382435,0.387397,2.58133,2.61482,2.61486,2.61438,2.61486,2.6163
5,75,66,0.8800,0.382082,0.38231,0.38243,0.38345,0.38243,0.444444,2.25,2.61486,2.61486,2.60879,2.61568,2.61724
6,75,67,0.8933,0.381826,0.382098,0.3822,0.382278,0.38243,0.384038,2.60391,2.61486,2.61643,2.6159,2.61713,2.619
7,75,62,0.8267,0.381756,0.381826,0.382068,0.38452,0.38236,0.5,2,2.61533,2.61733,2.6037,2.619,2.61947
8,75,67,0.8933,0.381684,0.381777,0.381816,0.38359,0.381816,0.483551,2.06804,2.61906,2.61907,2.6091,2.61933,2.61997
9,75,68,0.9067,0.381585,0.381734,0.381741,0.382539,0.381752,0.415676,2.40572,2.6195,2.61957,2.61439,2.61963,2.62065
10,75,61,0.8133,0.381546,0.381585,0.381648,0.382416,0.381714,0.413917,2.41594,2.61976,2.62022,2.61524,2.62065,2.62091
