step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,64,3,0.0469,0.384165,0.384886,0.385606,0.42266,0.441908,0.49821,2.00718,2.30025,2.59332,2.40118,2.59818,2.60305
1,64,17,0.2656,0.382388,0.383311,0.384755,0.404743,0.388332,0.5,2,2.57512,2.59906,2.49414,2.60885,2.61515
2,64,17,0.2656,0.38204,0.382482,0.382594,0.382906,0.382881,0.385833,2.5918,2.61178,2.61374,2.61162,2.6145,2.61753
3,64,27,0.4219,0.381375,0.382105,0.382356,0.386879,0.38248,0.5,2,2.61452,2.61536,2.59146,2.61709,2.62209
4,64,40,0.6250,0.38117,0.381585,0.381617,0.384385,0.382169,0.485483,2.0598,2.61664,2.62043,2.60524,2.62065,2.6235
5,64,39,0.6094,0.381137,0.381187,0.381564,0.384479,0.381593,0.5,2,2.6206,2.6208,2.60571,2.62338,2.62373
6,64,31,0.4844,0.381121,0.381136,0.381139,0.381162,0.381147,0.38152,2.6211,2.62366,2.62371,2.62356,2.62374,2.62384
7,64,45,0.7031,0.381116,0.38112,0.381125,0.381129,0.381127,0.381399,2.62192,2.6238,2.62381,2.62378,2.62384,2.62387
8,64,46,0.7188,0.381116,0.381116,0.381117,0.381121,0.381118,0.381303,2.62259,2.62386,2.62387,2.62384,2.62387,2.62387
9,64,47,0.7344,0.381116,0.381116,0.381116,0.381308,0.381116,0.388709,2.57262,2.62387,2.62387,2.62257,2.62387,2.62387
10,64,62,0.9688,0.381116,0.381116,0.381116,0.381116,0.381116,0.381118,2.62386,2.62387,2.62387,2.62387,2.62387,2.62387
11,64,58,0.9062,0.381116,0.381116,0.381116,0.38113,0.381116,0.381939,2.61822,2.62387,2.62387,2.62378,2.62387,2.62387
12,64,64,1.0000,0.381116,0.381116,0.381116,0.381116,0.381116,0.381116,2.62387,2.62387,2.62387,2.62387,2.62387,2.62387
13,64,60,0.9375,0.381116,0.381116,0.381116,0.381117,0.381116,0.381184,2.6234,2.62387,2.62387,2.62387,2.62387,2.62387
14,64,63,0.9844,0.381116,0.381116,0.381116,0.381116,0.381116,0.381116,2.62387,2.62387,2.62387,2.62387,2.62387,2.62387
15,64,63,0.9844,0.381116,0.381116,0.381116,0.381116,0.381116,0.381116,2.62387,2.62387,2.62387,2.62387,2.62387,2.62388
16,64,61,0.9531,0.381115,0.381116,0.381116,0.381116,0.381116,0.381117,2.62387,2.62387,2.62387,2.62387,2.62388,2.62388
17,64,62,0.9688,0.381115,0.381116,0.381116,0.381116,0.381116,0.381116,2.62388,2.62388,2.62388,2.62388,2.62388,2.62388
18,64,64,1.0000,0.381115,0.381115,0.381116,0.381116,0.381116,0.381116,2.62388,2.62388,2.62388,2.62388,2.62388,2.62388
19,64,64,1.0000,0.381115,0.381115,0.381115,0.381115,0.381115,0.381115,2.62388,2.62388,2.62388,2.62388,2.62388,2.62388
20,64,62,0.9688,0.381115,0.381115,0.381115,0.381122,0.381115,0.381501,2.62122,2.62388,2.62388,2.62383,2.62388,2.62388
21,64,64,1.0000,0.381115,0.381115,0.381115,0.381115,0.381115,0.381115,2.62388,2.62388,2.62388,2.62388,2.62388,2.62388
