step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,512,191,0.3730,0.382571,0.398633,0.479576,0.459328,0.500353,0.747768,1.33731,1.99859,2.08518,2.21065,2.50857,2.61389
1,512,171,0.3340,0.382006,0.382617,0.383669,0.412057,0.420106,0.53154,1.88132,2.38038,2.60641,2.45626,2.61358,2.61776
2,512,204,0.3984,0.381412,0.382088,0.382175,0.389396,0.382264,0.504734,1.98124,2.61599,2.6166,2.57753,2.6172,2.62184
3,512,116,0.2266,0.381223,0.381848,0.381983,0.397736,0.382525,0.513153,1.94873,2.61421,2.61792,2.53483,2.61884,2.62314
4,512,161,0.3145,0.381185,0.381254,0.3816,0.383586,0.381765,0.510805,1.95769,2.61941,2.62054,2.6097,2.62292,2.6234
5,512,198,0.3867,0.381163,0.381209,0.381225,0.388749,0.381456,0.518305,1.92937,2.62153,2.62312,2.58287,2.62323,2.62355
6,512,210,0.4102,0.381121,0.38117,0.38119,0.385894,0.381206,0.502285,1.9909,2.62325,2.62336,2.59743,2.6235,2.62384
7,512,231,0.4512,0.38106,0.381137,0.381159,0.386188,0.381202,0.513736,1.94652,2.62328,2.62358,2.59611,2.62373,2.62426
8,512,256,0.5000,0.381022,0.381096,0.381114,0.385048,0.381135,0.530914,1.88354,2.62374,2.62389,2.60243,2.62401,2.62452
9,512,273,0.5332,0.380984,0.38104,0.38108,0.385472,0.381112,0.513829,1.94617,2.6239,2.62412,2.60043,2.62439,2.62478
10,512,265,0.5176,0.380982,0.38101,0.381022,0.38283,0.381038,0.6,1.66667,2.62441,2.62452,2.61528,2.6246,2.62479
11,512,267,0.5215,0.380972,0.380984,0.380987,0.382698,0.381007,0.496454,2.01428,2.62462,2.62476,2.61521,2.62479,2.62486
12,512,289,0.5645,0.38097,0.380977,0.380978,0.381293,0.380982,0.425138,2.35218,2.6248,2.62482,2.62283,2.62483,2.62488
13,512,300,0.5859,0.380967,0.38097,0.380973,0.383004,0.380974,0.5,2,2.62485,2.62486,2.61412,2.62488,2.6249
14,512,283,0.5527,0.380965,0.38097,0.38097,0.382971,0.380972,0.504734,1.98124,2.62487,2.62488,2.61414,2.62488,2.62491
15,512,262,0.5117,0.380963,0.380968,0.380969,0.385228,0.380977,0.521158,1.9188,2.62483,2.62489,2.60205,2.6249,2.62493
16,512,289,0.5645,0.380963,0.380965,0.380967,0.383171,0.380967,0.513829,1.94617,2.6249,2.6249,2.61295,2.62492,2.62493
17,512,351,0.6855,0.380962,0.380963,0.380964,0.381518,0.380965,0.5,2,2.62492,2.62492,2.62176,2.62492,2.62493
18,512,349,0.6816,0.380961,0.380962,0.380962,0.380974,0.380963,0.381668,2.62008,2.62492,2.62493,2.62485,2.62493,2.62494
19,512,348,0.6797,0.38096,0.380961,0.380961,0.380964,0.380961,0.381835,2.61893,2.62494,2.62494,2.62492,2.62494,2.62495
20,512,367,0.7168,0.38096,0.38096,0.38096,0.38098,0.38096,0.382897,2.61167,2.62495,2.62495,2.62481,2.62495,2.62495
21,512,378,0.7383,0.38096,0.38096,0.38096,0.381612,0.38096,0.506619,1.97387,2.62495,2.62495,2.62154,2.62495,2.62495
22,512,381,0.7441,0.380959,0.38096,0.38096,0.381464,0.38096,0.5,2,2.62495,2.62495,2.62218,2.62495,2.62495
23,512,365,0.7129,0.380959,0.38096,0.38096,0.38096,0.38096,0.381235,2.62305,2.62495,2.62495,2.62495,2.62495,2.62495
24,512,369,0.7207,0.380959,0.38096,0.38096,0.38096,0.38096,0.38096,2.62495,2.62495,2.62495,2.62495,2.62495,2.62495
25,512,390,0.7617,0.380959,0.380959,0.380959,0.381132,0.38096,0.446418,2.24005,2.62495,2.62495,2.62393,2.62495,2.62495
26,512,357,0.6973,0.380959,0.380959,0.380959,0.380959,0.380959,0.38096,2.62495,2.62495,2.62495,2.62495,2.62495,2.62495
27,512,359,0.7012,0.380959,0.380959,0.380959,0.380961,0.380959,0.381694,2.6199,2.62495,2.62495,2.62494,2.62495,2.62495
28,512,290,0.5664,0.380959,0.380959,0.380959,0.381205,0.380959,0.451386,2.2154,2.62495,2.62495,2.62352,2.62495,2.62495
29,512,305,0.5957,0.380959,0.380959,0.380959,0.380967,0.380959,0.381828,2.61898,2.62495,2.62495,2.6249,2.62495,2.62495
30,512,286,0.5586,0.380959,0.380959,0.380959,0.38096,0.380959,0.381058,2.62427,2.62495,2.62495,2.62495,2.62495,2.62495
31,512,312,0.6094,0.380959,0.380959,0.380959,0.381882,0.380959,0.5,2,2.62495,2.62495,2.61997,2.62495,2.62495
32,512,237,0.4629,0.380959,0.380959,0.380959,0.380959,0.380959,0.380959,2.62495,2.62495,2.62495,2.62495,2.62495,2.62495
33,512,264,0.5156,0.380959,0.380959,0.380959,0.380959,0.380959,0.380959,2.62495,2.62495,2.62495,2.62495,2.62495,2.62495
