step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,512,178,0.3477,0.383262,0.395019,0.474655,0.455082,0.501656,0.697821,1.43303,1.9934,2.10681,2.23096,2.53152,2.60918
1,512,254,0.4961,0.382092,0.383513,0.384115,0.406799,0.385296,0.708461,1.41151,2.59541,2.60339,2.49734,2.60747,2.61717
2,512,174,0.3398,0.381531,0.382114,0.382271,0.402125,0.385967,0.525538,1.90281,2.5909,2.61594,2.5098,2.61702,2.62102
3,512,149,0.2910,0.381472,0.381765,0.381952,0.386183,0.382088,0.504734,1.98124,2.6172,2.61813,2.59521,2.61942,2.62142
4,512,131,0.2559,0.381303,0.381469,0.38152,0.388228,0.381604,0.503254,1.98707,2.62052,2.62109,2.58385,2.62145,2.62259
5,512,151,0.2949,0.381205,0.381264,0.381326,0.384072,0.38149,0.5,2,2.6213,2.62243,2.60758,2.62285,2.62326
6,512,186,0.3633,0.381089,0.381235,0.38124,0.385298,0.381257,0.519052,1.92659,2.6229,2.62302,2.60128,2.62305,2.62406
7,512,185,0.3613,0.381082,0.381125,0.381143,0.383372,0.381203,0.5,2,2.62328,2.62368,2.61045,2.62381,2.62411
8,512,155,0.3027,0.38108,0.38108,0.381113,0.38275,0.381125,0.5,2,2.62381,2.6239,2.61405,2.62412,2.62412
9,512,191,0.3730,0.381074,0.381075,0.381086,0.383293,0.381089,0.529728,1.88776,2.62406,2.62408,2.61093,2.62416,2.62416
10,512,207,0.4043,0.381058,0.381074,0.381074,0.383085,0.381074,0.520684,1.92055,2.62416,2.62416,2.61233,2.62416,2.62427
11,512,259,0.5059,0.381051,0.381067,0.381073,0.382588,0.381083,0.48018,2.08255,2.6241,2.62417,2.61508,2.62421,2.62432
