step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,64,3,0.0469,0.5,0.5,0.5,0.505102,0.507652,0.515305,1.9406,1.9703,2,1.9802,2,2
1,64,10,0.1562,0.435151,0.45668,0.5,0.48128,0.5,0.5,2,2,2,2.08559,2.19591,2.29805
2,64,18,0.2812,0.395644,0.431313,0.5,0.473494,0.5,0.5,2,2,2,2.12504,2.31851,2.52753
3,64,21,0.3281,0.385623,0.427993,0.460869,0.458256,0.5,0.5,2,2,2.16981,2.20307,2.33649,2.59321
4,64,35,0.5469,0.382595,0.396599,0.4276,0.42622,0.42845,0.5,2,2.334,2.33863,2.36343,2.52145,2.61373
5,64,45,0.7031,0.382347,0.383068,0.3836,0.399543,0.384119,0.5,2,2.60336,2.60688,2.52152,2.6105,2.61543
6,64,52,0.8125,0.382112,0.382497,0.382672,0.38344,0.382899,0.420259,2.37949,2.61166,2.61321,2.6084,2.6144,2.61704
7,64,61,0.9531,0.382062,0.382326,0.382485,0.382443,0.382663,0.383767,2.60575,2.61326,2.61448,2.61477,2.61557,2.61738
8,64,53,0.8281,0.382054,0.382072,0.382152,0.382862,0.382357,0.415684,2.40567,2.61535,2.61676,2.61225,2.61731,2.61743
9,64,61,0.9531,0.381668,0.381923,0.382008,0.382006,0.382102,0.382151,2.61677,2.6171,2.61774,2.61776,2.61833,2.62008
10,64,61,0.9531,0.381641,0.381822,0.381922,0.383229,0.381961,0.463146,2.15915,2.61807,2.61833,2.61098,2.61902,2.62026
11,64,60,0.9375,0.381531,0.381592,0.381606,0.381618,0.381645,0.381781,2.6193,2.62024,2.62051,2.62042,2.6206,2.62102
