```python
import numpy as np
import scipy.optimize as opt
from scipy.optimize import Bounds, minimize
from functools import partial

def run(seed=42, budget_s=600, **kwargs):
    np.random.seed(seed)
    n_points = 256
    dx = 2.0 / n_points
    initial = np.load('initial_h_values.npy')
    h = np.interp(np.linspace(0, 2, n_points), np.sort(initial), np.arange(n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.arange(n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
    h = np.interp(np.linspace(0, 2, n_points), np.sort(h), np.linspace(0, 1, n_points))
