step,group,arm,memory_ids,treatment_rollouts,control_rollouts,matched_n,tail_uplift_reward,valid_rate_treatment,valid_rate_control,valid_rate_delta,code_valid_rate_delta,parent_improvement_rate_delta,treatment_has_valid,control_has_valid
1,0,selected,14e87b21,38,13,13,-0.10505857756594095,0.2631578947368421,0.3076923076923077,-0.04453441295546562,-0.06477732793522267,-0.10121457489878544,True,True
1,0,explore,e29ed4f8,13,13,13,-0.0013964615711290485,0.23076923076923078,0.3076923076923077,-0.07692307692307693,-0.1538461538461538,-0.07692307692307693,True,True
1,1,selected,14e87b21,38,13,13,0.0011780881438414603,0.39473684210526316,0.38461538461538464,0.010121457489878527,0.07085020242914986,0.10931174089068824,True,True
1,1,explore,e29ed4f8,13,13,13,0.0018868145398789338,0.6923076923076923,0.38461538461538464,0.30769230769230765,0.07692307692307698,0.3846153846153846,True,True
1,2,selected,14e87b21,38,13,13,-0.0350287311236146,0.23684210526315788,0.23076923076923078,0.0060728744939270995,-0.13967611336032382,-0.02429149797570851,True,True
1,2,explore,e29ed4f8,13,13,13,-0.0008736238424620346,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,True,True
1,3,selected,14e87b21,38,13,13,-0.0199418072684594,0.2894736842105263,0.46153846153846156,-0.17206477732793524,0.014170040485830038,0.05465587044534412,True,True
1,3,explore,e29ed4f8,13,13,13,0.0002718435676856146,0.5384615384615384,0.46153846153846156,0.07692307692307687,0.07692307692307698,0.38461538461538464,True,True
1,4,selected,14e87b21,38,13,13,-0.17806236862954083,0.18421052631578946,0.46153846153846156,-0.2773279352226721,-0.39676113360323895,0.0020242914979757,True,True
1,4,explore,e29ed4f8,13,13,13,0.0007662743367014002,0.6923076923076923,0.46153846153846156,0.23076923076923073,-0.15384615384615385,0.07692307692307693,True,True
1,5,selected,14e87b21,38,13,13,-0.03214676236076164,0.3157894736842105,0.6153846153846154,-0.2995951417004049,-0.3421052631578947,-0.04858299595141702,True,True
1,5,explore,e29ed4f8,13,13,13,-0.03953884579828326,0.38461538461538464,0.6153846153846154,-0.23076923076923078,-0.23076923076923073,-0.15384615384615385,True,True
1,6,selected,14e87b21,38,13,13,-0.06454311833455817,0.21052631578947367,0.46153846153846156,-0.2510121457489879,-0.16396761133603244,0.10728744939271254,True,True
1,6,explore,e29ed4f8,13,13,13,-0.0012458744459835636,0.46153846153846156,0.46153846153846156,0.0,-0.15384615384615385,0.23076923076923078,True,True
1,7,selected,14e87b21,38,13,13,0.6656247588906161,0.2631578947368421,0.07692307692307693,0.18623481781376516,-0.030364372469635637,0.21052631578947367,True,True
1,7,explore,e29ed4f8,13,13,13,0.6852601159544685,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.0,0.3076923076923077,True,True
2,0,selected,e29ed4f8,38,13,13,0.0007553733691882947,0.6052631578947368,0.38461538461538464,0.2206477732793522,-0.0080971659919028,0.27125506072874495,True,True
2,0,explore,c81e4ac7,13,13,13,0.003979452725990651,0.3076923076923077,0.38461538461538464,-0.07692307692307693,-0.07692307692307687,-0.07692307692307693,True,True
