step,parents,unique_parent_ids,unique_parent_raw_12dp,unique_root_seeds,dominant_root_fraction,unique_step0_branches,dominant_step0_branch_fraction,common_ancestor_count,common_ancestor_fraction_of_median_depth,mean_pairwise_ancestor_jaccard,mean_parent_age,max_parent_age,zero_visit_parents
0,8,8,8,8,0.125,8,0.125,0,0.0,0.0,0,0,8
1,8,8,8,5,0.25,8,0.125,0,0.0,0.10714285714285714,1,1,8
2,8,8,6,3,0.5,4,0.25,0,0.0,0.19047619047619047,1,1,8
3,8,8,8,2,0.75,3,0.375,0,0.0,0.24285714285714285,1,1,8
4,8,8,7,2,0.625,3,0.375,0,0.0,0.22346938775510203,1,1,8
5,8,8,8,2,0.75,2,0.75,0,0.0,0.36054421768707484,1,1,8
6,8,8,8,1,1.0,1,1.0,3,0.5,0.4965986394557823,1,1,8
7,8,8,8,1,1.0,1,1.0,3,0.42857142857142855,0.4952561327561328,1,1,8
8,8,8,7,1,1.0,1,1.0,3,0.375,0.5242979242979243,1,1,8
9,8,8,7,1,1.0,1,1.0,3,0.3333333333333333,0.43474025974025976,1,1,8
10,8,8,8,1,1.0,1,1.0,8,0.8,0.7575757575757576,1,1,8
11,8,8,8,1,1.0,1,1.0,8,0.7272727272727273,0.6806645735217164,1,1,8
12,8,8,8,1,1.0,1,1.0,8,0.6666666666666666,0.7195839874411303,1,1,8
13,8,8,7,1,1.0,1,1.0,10,0.7692307692307693,0.7127125850340136,1,1,8
14,8,8,7,1,1.0,1,1.0,11,0.7857142857142857,0.7602240896358544,1,1,8
15,8,8,7,1,1.0,1,1.0,11,0.7333333333333333,0.7236842105263158,1,1,8
16,8,8,8,1,1.0,1,1.0,11,0.6875,0.6942777110844338,1,1,8
17,8,8,6,1,1.0,1,1.0,15,0.8823529411764706,0.847953216374269,1,1,8
18,8,8,6,1,1.0,1,1.0,15,0.8333333333333334,0.7958109559613319,1,1,8
19,8,8,4,1,1.0,1,1.0,17,0.8947368421052632,0.8625850340136054,1,1,8
20,8,8,6,1,1.0,1,1.0,17,0.85,0.8364523675082681,1,1,8
21,8,8,7,1,1.0,1,1.0,18,0.8571428571428571,0.8193111236589498,1,1,8
22,8,8,7,1,1.0,1,1.0,18,0.8181818181818182,0.8049848702022615,1,1,8
23,8,8,6,1,1.0,1,1.0,18,0.782608695652174,0.786343537414966,1,1,8
24,8,8,6,1,1.0,1,1.0,21,0.875,0.8262026862026862,1,1,8
25,8,8,5,1,1.0,1,1.0,21,0.84,0.8227142315812267,1,1,8
26,8,8,1,1,1.0,1,1.0,24,0.9230769230769231,0.8972033257747544,1,1,8
27,8,8,3,1,1.0,1,1.0,24,0.8888888888888888,0.8530964109781844,1,1,8
28,8,8,4,1,1.0,1,1.0,24,0.8571428571428571,0.8424466338259442,1,1,8
29,8,8,5,1,1.0,1,1.0,24,0.8275862068965517,0.8275594108611186,1,1,8
30,8,8,2,1,1.0,1,1.0,28,0.9333333333333333,0.9101382488479263,1,1,8
31,8,8,1,1,1.0,1,1.0,28,0.9032258064516129,0.8813025210084033,1,1,8
32,8,8,1,1,1.0,1,1.0,28,0.8888888888888888,0.8681277056277057,1.5,2,8
33,8,8,1,1,1.0,1,1.0,28,0.8615384615384616,0.8281107037409559,1.25,2,8
34,8,8,1,1,1.0,1,1.0,28,0.8615384615384616,0.831433228492052,2,3,8
