signature,occurrences,teacher_selected,selected_fraction
run_failed: constraints of type 'eq' not handled by cobyla.,1224,200,0.16339869281045752
run_failed: the number of bounds is not compatible with the length of `x#`.,591,117,0.19796954314720813
"run_failed: operands could not be broadcast together with shapes (#,) (#,)",427,108,0.2529274004683841
run_failed: `constraint` of an unknown type is passed.,394,99,0.2512690355329949
run_failed: _minimize_trustregion_constr() got an unexpected keyword argument 'ftol',154,61,0.3961038961038961
run_failed: can't pickle local object 'run.<locals>.optimize_guess',111,47,0.42342342342342343
"run_failed: operands could not be broadcast together with shapes (#,) (#,) (#,)",72,31,0.4305555555555556
"run_failed: the map-like callable must be of the form f(func, iterable), returning a sequence of numbers the same length",58,18,0.3103448275862069
run_failed: differential_evolution() got an unexpected keyword argument 'fun',48,29,0.6041666666666666
run_failed: can't pickle local object 'run.<locals>.optimize',43,27,0.627906976744186
"run_failed: evaluate_erdos_solution() missing # required positional arguments: 'h_values', 'c#_bound', and 'n_points'",40,9,0.225
run_failed: cannot access local variable 'noise' where it is not associated with a value,24,2,0.08333333333333333
run_failed: some entries in x# lay outside the specified bounds,22,7,0.3181818181818182
run_failed: name 'minimize' is not defined,21,5,0.23809523809523808
run_failed: evaluate_erdos_solution() missing # required positional arguments: 'c#_bound' and 'n_points',20,11,0.55
no_code_block,19,4,0.21052631578947367
run_failed: x and y arrays must be equal in length along interpolation axis.,19,7,0.3684210526315789
run_failed: index # is out of bounds for axis # with size #,18,10,0.5555555555555556
run_failed: can't pickle local object 'run.<locals>.optimize_single',18,12,0.6666666666666666
run_failed: cannot access local variable 'initial_h_values' where it is not associated with a value,17,12,0.7058823529411765
"run_failed: shapes (#,#) and (#,) not aligned: # (dim #) != # (dim #)",16,15,0.9375
run_failed: a must be #-dimensional,14,6,0.42857142857142855
run_failed: name 'interp#d' is not defined,14,7,0.5
run_failed: unknown solver differential_evolution,12,4,0.3333333333333333
run_failed: name 'time' is not defined,12,8,0.6666666666666666
run_failed: differential_evolution() got an unexpected keyword argument 'initial_population',11,5,0.45454545454545453
run_failed: cannot import name 'cobyla' from 'scipy.optimize' (/home/ubuntu/mohammad/.venv/lib/python#.#/site-packages/s,11,11,1.0
run_failed: low >= high,11,0,0.0
run_failed: cannot cast ufunc 'add' output from dtype('float#') to dtype('int#') with casting rule 'same_kind',10,9,0.9
run_failed: cannot access local variable 'compute_c#' where it is not associated with a value,9,2,0.2222222222222222
"run_failed: could not broadcast input array from shape (#,) into shape (#,)",9,4,0.4444444444444444
run_failed: can't pickle local object 'run.<locals>.optimize_perturbation',9,5,0.5555555555555556
run_failed: slice indices must be integers or none or have an __index__ method,9,1,0.1111111111111111
run_failed: can't pickle local object 'run.<locals>.objective',8,5,0.625
run_failed: can't pickle local object 'run.<locals>.<lambda>',8,7,0.875
run_failed: fp and xp are not of the same length.,8,7,0.875
run_failed: minimize() got an unexpected keyword argument 'maxiter',7,7,1.0
run_failed: no module named 'evaluate_erdos_solution',6,6,1.0
