step,rollouts,valid,valid_fraction,code_valid_fraction,code_failures,constraint_failures,timeouts,step_best_raw,cumulative_best_raw,valid_raw_median,valid_raw_mean,parent_best_raw,improved_over_parent,same_as_parent,worse_than_parent,improved_fraction_all,same_fraction_valid,unique_exact_codes,unique_structural_codes,unique_valid_exact_codes,unique_valid_constructions_12dp,same_construction_as_parent,mean_unique_codes_per_group,constant_reward_groups,mean_group_max_ties,response_tokens_total,response_tokens_mean,response_tokens_p95,beta_mean,beta_median,saturated_beta_groups,positive_advantage_fraction,archive_size,distinct_good,feedback_lambda_effective,feedback_teacher_rollouts
0,512,191,0.373046875,0.68359375,162,159,0,0.3825711346213967,0.3825711346213967,0.4795755742615298,0.4593282021654529,0.48962887120768206,140,24,27,0.2734375,0.1256544502617801,510,489,191,136,22,63.75,0,1.125,5325025,10400.439453125,13677.349999999999,1.282649681523546,1.3246216985403203,0,0.37109375,24,140,0.05820312500000002,103
1,512,171,0.333984375,0.658203125,175,166,0,0.3820058119514648,0.3820058119514648,0.3836690678789567,0.41205729500395866,0.3825711346213967,79,10,82,0.154296875,0.05847953216374269,512,509,171,140,10,64,0,1.25,3367336,6576.828125,8785.2,1.15785170124408,1.104528590635568,0,0.333984375,40,79,0.07089843750000002,103
2,512,204,0.3984375,0.630859375,189,114,5,0.38141218845724145,0.38141218845724145,0.3821746727366122,0.38939617373812,0.3820058119514648,126,13,65,0.24609375,0.06372549019607843,510,499,203,113,11,63.75,0,1.5,3194997,6240.228515625,8624.150000000001,20.079096878720506,1.2766950558181676,0,0.375,56,125,0.08457031250000002,103
3,512,116,0.2265625,0.453125,280,112,4,0.3812225764259243,0.3812225764259243,0.3819826096520007,0.3977363076433503,0.38141218845724145,60,0,56,0.1171875,0.0,512,509,116,79,0,64,0,1.25,3240538,6329.17578125,8953.8,1.1536257695070982,1.0384170338415948,0,0.2109375,72,60,0.17343750000000002,103
4,512,161,0.314453125,0.541015625,235,114,2,0.3811850711056594,0.3811850711056594,0.3816004534323465,0.38358577900590735,0.3812225764259243,102,1,58,0.19921875,0.006211180124223602,511,503,161,121,1,63.875,0,1.125,3149046,6150.48046875,8233.05,107.25149826362353,1.10804584828695,0,0.302734375,88,102,0.12949218750000002,103
5,512,198,0.38671875,0.708984375,149,161,4,0.38116331274952786,0.38116331274952786,0.38122548549470026,0.3887493137563525,0.3811850711056594,101,0,97,0.197265625,0.0,511,507,198,166,0,63.875,0,1,3134500,6122.0703125,8685.25,446.2461765769196,1.1444979037023897,0,0.3671875,104,101,0.04550781250000002,102
6,512,210,0.41015625,0.783203125,111,177,14,0.3811208505168095,0.3811208505168095,0.38119032741089387,0.3858939509907701,0.38116331274952786,115,4,91,0.224609375,0.01904761904761905,509,507,208,171,4,63.625,0,1.125,3001035,5861.396484375,8251.65,1.4414391650874816,1.4273308836076257,0,0.40625,120,115,0.008398437500000022,103
7,512,231,0.451171875,0.7734375,116,154,11,0.38106028003185194,0.38106028003185194,0.381159186373892,0.3861875627522929,0.3811208505168095,111,2,118,0.216796875,0.008658008658008658,512,510,231,169,2,64,0,1.25,3155546,6163.17578125,9072.0,363.5541316265028,25.99518040101774,0,0.396484375,136,111,0.013281250000000022,103
8,512,256,0.5,0.814453125,95,146,15,0.3810215648243404,0.3810215648243404,0.3811138266748568,0.3850481021272542,0.38106028003185194,147,3,106,0.287109375,0.01171875,504,500,250,164,1,63,0,1.5,3114652,6083.3046875,9252.0,1605.9049218005966,18.552205207169045,0,0.44140625,152,142,0.0,0
9,512,273,0.533203125,0.810546875,97,134,8,0.3809839344045971,0.3809839344045971,0.3810804483121578,0.3854721888362254,0.3810215648243404,147,1,125,0.287109375,0.003663003663003663,507,500,270,171,2,63.375,0,1.125,3250366,6348.37109375,8757.75,837.8017353735321,160.57461365657707,0,0.466796875,168,145,0.0,0
10,512,265,0.517578125,0.80859375,98,147,2,0.38098249999422246,0.38098249999422246,0.38102241701143963,0.3828300764294468,0.3809839344045971,139,26,100,0.271484375,0.09811320754716982,510,505,263,120,26,63.75,0,2.5,3173406,6198.05859375,9015.449999999999,197898.43736309194,1508.001205791887,1,0.47265625,184,138,0.0,0
11,512,267,0.521484375,0.828125,88,149,8,0.38097218060344745,0.38097218060344745,0.3809867910772919,0.3826980988059038,0.38098249999422246,173,0,94,0.337890625,0.0,510,509,266,113,0,63.75,0,6.875,3249482,6346.64453125,9080.3,135818.4776605913,178.41448278685849,1,0.4609375,200,173,0.0,0
12,512,289,0.564453125,0.849609375,77,140,6,0.38097019551129735,0.38097019551129735,0.38097839715420634,0.38129331349466994,0.38097218060344745,204,0,85,0.3984375,0.0,512,509,289,104,0,64,0,1.375,3215447,6280.169921875,8910.55,42269.14946523407,12733.328577684339,0,0.462890625,216,204,0.0,0
13,512,300,0.5859375,0.83203125,86,121,5,0.38096702412749545,0.38096702412749545,0.3809732997148612,0.3830042733324701,0.38097019551129735,227,2,71,0.443359375,0.006666666666666667,504,498,292,84,2,63,0,11.75,3124557,6102.650390625,8845.249999999998,344944.27034666314,158873.4962738065,2,0.5078125,232,219,0.0,0
14,512,283,0.552734375,0.810546875,97,121,11,0.3809652265610157,0.3809652265610157,0.38096989686989996,0.3829707567789239,0.38096702412749545,175,0,108,0.341796875,0.0,507,501,278,116,0,63.375,0,6.25,2862845,5591.494140625,8407.35,524291.1778888815,524298.7989323488,4,0.4921875,248,170,0.0,0
15,512,262,0.51171875,0.833984375,85,155,10,0.3809627675576457,0.3809627675576457,0.38096874069762415,0.38522789550316505,0.3809652265610157,76,11,175,0.1484375,0.04198473282442748,496,490,251,109,9,62,0,5.25,3160892,6173.6171875,8774.55,305281.79065044207,2295.505922231193,2,0.408203125,264,66,0.0,0
16,512,289,0.564453125,0.845703125,79,129,15,0.38096272545275917,0.38096272545275917,0.3809666358278896,0.3831706466401698,0.3809627675576457,166,3,120,0.32421875,0.010380622837370242,459,455,240,60,3,57.375,0,1.625,3061993,5980.455078125,8616.3,632560.0595638978,956305.9744988187,4,0.49609375,280,122,0.0,0
17,512,351,0.685546875,0.8515625,76,67,18,0.38096231121943386,0.38096231121943386,0.38096411990905643,0.38151787415669736,0.38096272545275917,321,0,30,0.626953125,0.0,508,504,347,39,0,63.5,0,1.75,2877525,5620.166015625,8741.9,879219.3812209701,1048576.0,6,0.5390625,296,317,0.0,0
18,512,349,0.681640625,0.849609375,77,61,25,0.38096062575495054,0.38096062575495054,0.3809624729105802,0.38097448551785906,0.38096231121943386,266,0,83,0.51953125,0.0,489,479,326,54,0,61.125,0,1.875,2859669,5585.291015625,8036.45,437349.22786401963,281086.1823515008,1,0.4140625,312,253,0.0,0
19,512,348,0.6796875,0.853515625,75,78,11,0.3809598538269691,0.3809598538269691,0.3809612165631959,0.3809642507677623,0.38096062575495054,291,4,53,0.568359375,0.011494252873563218,488,475,336,46,4,61,0,1.25,2720327,5313.138671875,7979.4,370745.6405177696,325869.3971309224,0,0.37890625,328,280,0.0,0
