```python
import numpy as np
import time
import scipy.optimize
import scipy.interpolate
import copy

def run(seed=42, budget_s=600):
    np.random.seed(seed)
    n_points = 100
    dx = 2.0 / n_points
    initial_h = initial_h_values.copy()
    initial_h = initial_h[:n_points]
    initial_h = np.clip(initial_h, 0, 1)
    sum_h = np.sum(initial_h)
    if sum_h * dx != 1:
        initial_h = (initial_h / sum_h) * (n_points / 2)
    
    def compute_C5(h):
        h = np.clip(h, 0, 1)
        h = np.concatenate([h, h])
        h = h[:n_points+1]  # Adjust for full mode
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
        h = h[:n_points+1]
