<strategy>
Use a more precise numerical surrogate with adaptive sampling and a hybrid optimizer to find better coefficients for the Hermite construction. Use a fixed number of free coefficients (4) and refine the search using a combination of gradient descent and Bayesian optimization with exact checks for promising candidates.
</strategy>

```python
import numpy as np
from scipy.optimize import minimize
from scipy.optimize import Bounds
from scipy.optimize import fsolve
from scipy.integrate import quad
from scipy.interpolate import interp1d
from scipy.optimize import Bounds
from scipy.optimize import minimize_scalar

def run(seed=42, budget_s=100, **kwargs):
    np.random.seed(seed)
    
    def evaluate_coefficients(c):
        try:
            return evaluate_c4_coefficients(c)
        except:
            return np.inf
    
    def compute_Q_and_r_max(c):
        from sympy import symbols, hermite, solve, Eq, simplify, Rational
        z = symbols('z')
        Q = sum(c[k] * hermite(4*k, z) for k in range(len(c)))
        Q = Q.subs(z, 0)
        Q = Q.as_ordered_terms()[0]
        Q = Q - Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = simplify(Q)
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
        Q = Q.as_ordered_terms()[0]
