```python
import numpy as np
import scipy.optimize as opt
from scipy.optimize import minimize
from scipy.integrate import trapz
import time

def run(seed=42, budget_s=600):
    np.random.seed(seed)
    n_points = 100
    dx = 2.0 / n_points
    h = np.random.rand(n_points) * dx * n_points / 2.0
    h = np.random.choice([0, 1], size=n_points, p=[0.5, 0.5])
    h = np.random.permutation(h)
    h = np.random.choice([0, 1], size=n_points, p=[0.5, 0.5])
    h = np.random.permutation(h)
    h = np.random.choice([0, 1], size=n_points, p=[0.5, 0.5])
    h = np.random.permutation(h)
    
    def compute_c5(h):
        h = h.astype(float)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
        h = np.roll(h, 1)
